Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code,pdf_url,local_pdf_path
12/30/25,K253532,TruSPECT Processing Station,"Spectrum Dynamics Medical, Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253532.pdf,Not Found
12/23/25,K253091,ART-Plan+ (v3.1.0),Therapanacea Sas,Radiology,MUJ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253091.pdf,Not Found
12/23/25,K252379,AIR Recon DL,"Ge Medical Systems, LLC",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252379.pdf,Not Found
12/22/25,K252557,Lumify Diagnostic Ultrasound System,"Philips Ultrasound, LLC",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252557.pdf,Not Found
12/22/25,K252856,PeekMed web,"Peek Health, S.A.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252856.pdf,Not Found
12/22/25,K253664,SKOUT system,Iterative Health,Gastroenterology-Urology,QNP,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253664.pdf,Not Found
12/22/25,K250959,BioticsAI,"Bioticsai, Inc.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250959.pdf,Not Found
12/19/25,K252670,Alzevita,TOPIA MEDTECH LIMITED,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252670.pdf,Not Found
12/19/25,K252029,AI-CVD,HeartLung Corporation,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252029.pdf,Not Found
12/19/25,K252284,eMurmur Heart AI,Csd Labs,Cardiovascular,DQD,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252284.pdf,Not Found
12/19/25,K252838,MAGNETOM Sola; MAGNETOM Altea; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile; MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Vida Fit; MAGNETOM Flow.Elite; MAGNETOM Flow.Neo; MAGNETOM Flow.Rise,Siemens Healthcare GmbH,Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252838.pdf,Not Found
12/18/25,K253516,Assert-IQ (DM5100),Abbott Medical,Cardiovascular,MXD,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253516.pdf,Not Found
12/18/25,K250914,MediAI-BA,"Crescom Co., Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250914.pdf,Not Found
12/18/25,K252235,PVAD IQ Software,"Ultrasight , Ltd.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252235.pdf,Not Found
12/17/25,K251416,UltraSight Guidance,"Ultrasight , Ltd.",Radiology,QJU,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251416.pdf,Not Found
12/17/25,K252922,Neosoma Brain Mets,"Neosoma, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252922.pdf,Not Found
12/16/25,K252204,prolaio eVO2peak Module (Version 1.0),"Prolaio, Inc.",Cardiovascular,PPW,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252204.pdf,Not Found
12/16/25,K251763,IRISeg,"Intuitive Surgical, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251763.pdf,Not Found
12/12/25,K253489,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253489.pdf,Not Found
12/11/25,K253141,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253141.pdf,Not Found
12/11/25,K252482,CogNet AI-MT+,"Medcognetics, Inc.",Radiology,QFM,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252482.pdf,Not Found
12/10/25,K252497,SANSA HSAT,Huxley Medical,Anesthesiology,MNR,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252497.pdf,Not Found
12/9/25,K243449,INFINITT DPS,"Infinitt Healthcare Co., Ltd.",Pathology,QKQ,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K243449.pdf,Not Found
12/8/25,K252294,Fetal EchoScan (v1.2),Brightheart,Radiology,POK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252294.pdf,Not Found
12/8/25,K251936,Ceribell Delirium Monitor System,"Ceribell, Inc.",Neurology,NCG,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251936.pdf,Not Found
12/5/25,K251514,Overjet CBCT Assist,"Overjet, Inc.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251514.pdf,Not Found
12/5/25,K252504,Gastric Alimetry,"Alimetry , Ltd.",Gastroenterology-Urology,MYE,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252504.pdf,Not Found
12/5/25,K251657,Personalized Therapy Comfort Settings (PTCS),ResMed Corp,Anesthesiology,BZD,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251657.pdf,Not Found
12/5/25,K250780,ARTAssistant,"Manteia Technologies Co., Ltd.",Radiology,QKB,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250780.pdf,Not Found
12/3/25,K251203,AVIEW Lung Nodule CAD,"Coreline Soft Co.,Ltd",Radiology,OEB,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251203.pdf,Not Found
12/2/25,K252103,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252103.pdf,Not Found
12/1/25,K251370,Cartesion Prime (PCD-1000A/3) V10.21,Canon Medical Systems Corporation,Radiology,KPS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251370.pdf,Not Found
11/28/25,K252217,CT VScore+,"Canon Medical Informatics, Inc.",Radiology,JAK,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252217.pdf,Not Found
11/26/25,K253269,OEC One CFD,"Ge Hualun Medical Systems Co. , Ltd.",Radiology,OXO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253269.pdf,Not Found
11/25/25,K253310,7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30),"Esaote, S.P.A.",Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K253310.pdf,Not Found
11/25/25,K250694,Scaida BrainCT-ICH (v1.0),Mlhealth 360,Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250694.pdf,Not Found
11/24/25,K252328,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252328.pdf,Not Found
11/24/25,K252366,a2z-Unified-Triage,"A2z Radiology Ai, Inc.",Radiology,QAS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252366.pdf,Not Found
11/21/25,K251506,Nelli (Version 7.11),Neuro Event Labs OY,Neurology,POS,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251506.pdf,Not Found
11/21/25,K251293,CardioVision,Icardio.Ai,Cardiovascular,QUO,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251293.pdf,Not Found
11/20/25,K251822,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Shenzhen Magnetic Resonance , Ltd.",Radiology,LNH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251822.pdf,Not Found
11/17/25,K252086,DTX Studio Assist,Nobel Biocare C/O Medicim NV,Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252086.pdf,Not Found
11/17/25,K252330,DeepRESP,Nox Medical Ehf,Neurology,OLZ,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252330.pdf,Not Found
11/14/25,K250525,Second Opinion® Panoramic,"Pearl, Inc.",Radiology,MYN,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K250525.pdf,Not Found
11/14/25,K251078,AutoDensity,Eos Imaging,Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251078.pdf,Not Found
11/12/25,K252452,PeekMed web,"Peek Health, S.A.",Radiology,QIH,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252452.pdf,Not Found
